"ID","Player","Team","Position","RkOv","Status","Roster Status","FPts","FP/G","Ros","+/-","Par","Bir","Eag","Bog","DBo","Alb","H1","TP","Oth","Plc"
"*05a2g*","Alejandro Tosti","null","null","143","[AW]","Reserve","0","0","29%","+7.4%","0","0","0","0","0","0","0","0","0","0"
"*051lw*","Dylan Wu","null","null","45","NT 4","Reserve","0","0","29%","+0.5%","0","0","0","0","0","0","0","0","0","0"
"*02toq*","Matthew NeSmith","null","null","77","NT 4","Reserve","0","0","26%","-0.2%","0","0","0","0","0","0","0","0","0","0"
"*028im*","Thorbjorn Olesen","null","null","220","NT 4","Reserve","0","0","24%","-2.4%","0","0","0","0","0","0","0","0","0","0"
"*04zhs*","Garrick Higgo","null","null","95","919","Active","0","0","24%","+0.7%","0","0","0","0","0","0","0","0","0","0"
"*03o6j*","Tyler Duncan","null","null","87","919","Reserve","0","0","21%","+0.2%","0","0","0","0","0","0","0","0","0","0"
"*041kw*","Matt Wallace","null","null","105","u_c","Active","0","0","19%","-0.9%","0","0","0","0","0","0","0","0","0","0"
"*05opo*","Parker Coody","null","null","145","NT 8","Reserve","0","0","17%","-2.1%","0","0","0","0","0","0","0","0","0","0"
"*04fki*","Adrian Meronk","null","null","374","grrr","Reserve","0","0","14%","-6.4%","0","0","0","0","0","0","0","0","0","0"
"*06al3*","Gordon Sargent","null","null","2934","NT 8","Reserve","0","0","13%","+0.1%","0","0","0","0","0","0","0","0","0","0"
"*03fu3*","Ben Silverman","null","null","142","grrr","Active","0","0","10%","-1.6%","0","0","0","0","0","0","0","0","0","0"
"*04dot*","Max Greyserman","null","null","164","grrr","Active","0","0","5%","-0.9%","0","0","0","0","0","0","0","0","0","0"
