ID,Player,Team,Position,RkOv,Status,Roster Status,FPts,FP/G,Ros,+/-,Par,Bir,Eag,Bog,DBo,Alb,H1,TP,Oth,Plc
*01otb*,Aaron Baddeley,null,null,106,grrr,Active,427,61,16%,7%,299,97,1,45,8,0,0,7,0,311
*041jw*,Aaron Rai,null,null,93,[AW],Active,461,65.86,76%,2.80%,268,116,1,58,5,0,0,7,2,299
*01whh*,Adam Hadwin,null,null,74,txms,Reserve,515.5,73.64,93%,-3.70%,246,123,2,41,2,0,0,7,0,220
*03pa9*,Adam Schenk,null,null,64,MG,Reserve,555,61.67,72%,-15.40%,335,128,4,69,4,0,0,9,0,377
*01re1*,Adam Scott,null,null,121,NT 8,Reserve,389,77.8,92%,-4.70%,209,83,5,41,4,0,0,5,0,93
*032pw*,Adam Svensson,null,null,12,MG,Reserve,759,69,87%,-8.40%,449,161,11,73,7,0,0,11,1,397
*04fki*,Adrian Meronk,null,null,2319,grrr,Reserve,0,0,16%,-6.10%,0,0,0,0,0,0,0,0,0,0
*061qp*,Adrien Dumont De Chassart,null,null,204,[AW],Reserve,213,42.6,31%,1.40%,167,45,3,51,4,0,0,5,0,351
*04z4l*,Akshay Bhatia,null,null,4,NT 4,Reserve,849.5,70.79,90%,-8.40%,474,205,5,83,6,0,0,12,1,417
*05a2g*,Alejandro Tosti,null,null,193,txms,Active,239,59.75,36%,6.60%,128,61,2,36,7,0,0,4,0,247
*01qwg*,Alex Noren,null,null,17,u_c,Active,694,69.4,78%,-13.10%,455,145,7,55,4,0,0,10,0,334
*04dox*,Alex Smalley,null,null,62,txms,Reserve,555.5,55.55,56%,3.80%,348,129,4,71,6,0,0,10,0,526
*0510p*,Austin Eckroat,null,null,44,u_c,Reserve,597.5,59.75,74%,6.10%,410,132,3,63,4,0,0,10,0,452
*027ev*,Beau Hossler,null,null,9,919,Active,790,79,93%,-5.60%,436,181,6,72,7,0,0,10,0,214
*060yj*,Ben Griffin,null,null,6,MG,Reserve,827.5,68.96,79%,-10.30%,501,174,11,84,4,0,0,12,0,444
*0510w*,Brandon Wu,null,null,23,NT 4,Active,665.5,66.55,77%,22.90%,409,153,5,72,9,0,0,10,0,474
*01rq8*,Brendon Todd,null,null,43,txms,Reserve,605.5,75.69,78%,-9.80%,357,140,4,52,5,0,0,8,0,228
*01z7y*,Brian Harman,null,null,101,[AW],Reserve,436.5,72.75,95%,-5.10%,262,97,5,47,3,0,0,6,0,225
*02k0v*,Brooks Koepka,null,null,1890,grrr,Reserve,0,0,76%,-3.70%,0,0,0,0,0,0,0,0,0,0
*01szi*,Byeong Hun An,null,null,108,MG,Active,422,84.4,95%,-2.80%,187,101,4,49,1,0,0,5,0,119
*04dor*,Cameron Champ,null,null,31,NT 8,Reserve,648.5,58.95,65%,15.90%,385,151,6,78,8,0,0,11,2,584
*049uf*,Cameron Davis,null,null,45,grrr,Reserve,594,74.25,92%,-6.50%,328,143,4,56,7,0,0,8,2,241
*03lkb*,Cameron Smith,null,null,3066,919,Reserve,0,0,60%,-8.40%,0,0,0,0,0,0,0,0,0,0
*0510x*,Cameron Young,null,null,85,NT 4,Reserve,475.5,79.25,100%,-0.50%,253,110,4,40,7,0,0,6,0,219
*01rud*,Camilo Villegas,null,null,70,NT 4,Reserve,535.5,66.94,43%,-13.60%,279,133,3,52,1,0,0,8,0,406
*04syb*,Carl Yuan,null,null,26,[AW],Active,664.5,66.45,61%,10.80%,396,151,8,85,8,0,0,10,0,475
*05olq*,Carson Young,null,null,36,grrr,Active,631,63.1,41%,19.60%,398,143,3,64,4,0,0,10,0,450
*01pxw*,Charley Hoffman,null,null,25,u_c,Reserve,665,55.42,67%,29%,425,150,3,81,4,0,0,12,3,632
*02too*,Chesson Hadley,null,null,24,MG,Active,665,73.89,62%,18.20%,389,158,3,53,6,0,0,9,3,327
*060g2*,Chris Gotterup,null,null,211,919,Reserve,207,51.75,25%,0.50%,134,50,1,24,6,0,0,4,1,265
*01q98*,Chris Kirk,null,null,92,919,Active,466.5,66.64,93%,-5.60%,256,116,1,39,1,0,0,7,1,246
*03yr5*,Christiaan Bezuidenhout,null,null,57,grrr,Active,563.5,80.5,75%,-9.80%,282,123,6,51,6,0,0,7,0,215
*042vf*,Collin Morikawa,null,null,123,txms,Reserve,379,75.8,100%,-0.50%,181,92,1,27,5,0,0,5,0,118
*032pt*,Corey Conners,null,null,99,u_c,Active,441,73.5,94%,-3.30%,263,98,4,47,2,0,0,6,0,217
*03d9m*,Daniel Berger,null,null,218,919,Active,188.5,62.83,54%,-15.90%,110,42,2,25,1,0,0,3,0,146
*05abl*,Davis Thompson,null,null,10,txms,Active,760.5,76.05,84%,22%,421,182,4,70,7,0,0,10,0,345
*03ppp*,Denny McCarthy,null,null,97,u_c,Active,455.5,75.92,91%,-7%,258,109,2,39,6,0,0,6,0,159
*04mkw*,Doug Ghim,null,null,30,MG,Reserve,649,59,57%,37.80%,391,134,8,55,6,0,0,11,0,522
*051lw*,Dylan Wu,null,null,50,NT 4,Reserve,582.5,52.95,29%,2.30%,405,135,2,84,4,0,0,11,0,586
*02i28*,Emiliano Grillo,null,null,18,grrr,Active,685.5,62.32,99%,0.90%,416,156,5,81,8,0,0,11,0,414
*05osh*,Eric Cole,null,null,1,MG,Active,950.5,79.21,99%,-0.90%,478,237,4,83,8,0,0,12,0,247
*03oet*,Erik Van Rooyen,null,null,8,NT 4,Active,809.5,80.95,99%,2.80%,409,181,10,60,6,0,0,10,0,270
*04zhs*,Garrick Higgo,null,null,81,919,Reserve,495,61.88,27%,3.70%,295,122,4,63,18,0,0,8,2,467
*06al3*,Gordon Sargent,null,null,2922,NT 8,Reserve,0,0,15%,-4.20%,0,0,0,0,0,0,0,0,0,0
*02h6r*,Harris English,null,null,68,[AW],Reserve,545.5,77.93,94%,-2.30%,312,108,10,53,3,0,0,7,0,216
*025ci*,Hideki Matsuyama,null,null,61,u_c,Reserve,556,79.43,99%,0%,309,103,8,59,7,0,1,7,0,246
*03scq*,J.J. Spaun,null,null,54,[AW],Active,572.5,52.05,58%,2.30%,371,134,4,76,9,0,0,11,0,549
*041js*,J.T. Poston,null,null,27,txms,Reserve,662.5,82.81,98%,-1.90%,311,151,8,48,3,0,0,8,1,172
*060z5*,Jacob Bridgeman,null,null,205,[AW],Active,212.5,53.12,12%,0.50%,138,47,2,27,0,0,0,4,2,257
*03mmu*,Jake Knapp,null,null,105,u_c,Active,428,85.6,56%,23.40%,213,85,1,35,5,1,0,5,3,170
*01pb5*,Jason Day,null,null,117,[AW],Reserve,404.5,80.9,100%,0%,183,87,5,28,3,0,0,5,0,138
*03lmu*,Jon Rahm,null,null,2755,u_c,Reserve,0,0,85%,-3.30%,0,0,0,0,0,0,0,0,0,0
*01uh8*,Jordan Spieth,null,null,147,[AW],Reserve,310.5,103.5,100%,-0.50%,143,70,1,18,2,0,0,3,0,48
*033hd*,Justin Lower,null,null,11,919,Reserve,759.5,63.29,28%,13.60%,475,179,2,96,4,0,0,12,0,567
*01ra6*,Justin Rose,null,null,161,919,Active,288,72,84%,-8.90%,171,66,2,27,3,0,0,4,1,164
*041km*,Justin Suh,null,null,38,NT 4,Active,625.5,62.55,91%,9.30%,371,163,0,86,10,0,0,10,0,479
*01rp9*,Justin Thomas,null,null,114,NT 4,Reserve,410,82,100%,-0.50%,188,88,2,28,0,0,0,5,0,78
*01oz6*,Keegan Bradley,null,null,120,txms,Reserve,397.5,66.25,97%,-2.80%,231,90,4,52,1,0,0,6,0,172
*041j5*,Keith Mitchell,null,null,34,grrr,Active,634,63.4,92%,13.10%,378,137,7,64,7,0,0,10,1,424
*04pig*,Kevin Yu,null,null,33,txms,Reserve,640,49.23,28%,-33.20%,372,150,4,92,12,0,0,13,0,732
*049tv*,Kurt Kitayama,null,null,104,grrr,Reserve,429.5,71.58,81%,-10.30%,275,93,3,38,5,0,0,6,0,155
*03d9w*,Kyoung-Hoon Lee,null,null,22,MG,Reserve,665.5,60.5,72%,4.70%,407,152,6,74,8,0,0,11,1,525
*01pop*,Lucas Glover,null,null,115,NT 8,Active,408.5,68.08,70%,-14.50%,220,103,2,49,3,0,0,6,1,308
