ID,player_name,player_id
*05opo*,Parker Coody,05opo
*03da4*,Robby Shelton,03da4
*05t5b*,Pierceson Coody,05t5b
*060g2*,Chris Gotterup,060g2
*01qzf*,Ryan Palmer,01qzf
*01q9i*,Patton Kizzire,01q9i
*01q9b*,Kevin Kisner,01q9b
*04fki*,Adrian Meronk,04fki
*06al3*,Gordon Sargent,06al3
*01otb*,Aaron Baddeley,01otb
*03o4j*,Erik Barnes,03o4j
*05g4a*,Harry Hall,05g4a
*01qpr*,Phil Mickelson,01qpr
*02ibl*,Kelly Kraft,02ibl
*04yrj*,Sami Valimaki,04yrj
*01uqe*,Joseph Bramlett,01uqe
*02k0r*,Brice Garnett,02k0r
*061qp*,Adrien Dumont De Chassart,061qp
*04xol*,Hayden Buckley,04xol
*052rw*,Will Gordon,052rw
*060z5*,Jacob Bridgeman,060z5
*02top*,Ben Kohles,02top
*02y9f*,Henrik Norlander,02y9f
*03pa0*,Alexander Bjork,03pa0
*01pms*,Sergio Garcia,01pms
*01r72*,Chez Reavie,01r72
*04a7g*,Callum Tarren,04a7g
*03fu3*,Ben Silverman,03fu3
*03d9n*,Zac Blair,03d9n
*01q3s*,Zach Johnson,01q3s
*01ql9*,Ben Martin,01ql9
*01q9z*,Russell Knox,01q9z
*03pju*,Chad Ramey,03pju
*027ex*,Adam Long,027ex
*01rlm*,Kevin Streelman,01rlm
*01p6j*,Stewart Cink,01p6j
*03o81*,Lucas Herbert,03o81
*01qc6*,Martin Laird,01qc6
*01oqc*,Tyson Alexander,01oqc
*03rlp*,Ben Taylor,03rlp
*02xgf*,David Lipsky,02xgf
*01rtx*,Jhonattan Vegas,01rtx
*01tf1*,Bud Cauley,01tf1
*04dot*,Max Greyserman,04dot
*050au*,Rasmus Hojgaard,050au
*05ri2*,Sam Bennett,05ri2
*03d1s*,Talor Gooch,03d1s
*04czn*,Austin Smotherman,04czn
*041l0*,Aaron Wise,041l0
*02y9e*,David Lingmerth,02y9e
*01rw6*,Bubba Watson,01rw6
*041ib*,Kramer Hickok,041ib
*01ryr*,Danny Willett,01ryr
*04mmu*,Norman Xiong,04mmu
*06l3v*,Jasper Stubbs,06l3v
*03d1r*,Austin Cook,03d1r
*02z04*,David Skinns,02z04
*01ri8*,Brandt Snedeker,01ri8
*06l3u*,Neal Shipley,06l3u
*05tea*,Joe Highsmith,05tea
*03o4e*,Abraham Ancer,03o4e
*01p1a*,Bronson Burgoon,01p1a
*05l0g*,Peter Kuest,05l0g
*01r2o*,Scott Piercy,01r2o
*01rdx*,Charl Schwartzel,01rdx
*04as9*,Jimmy Stanger,04as9
*0510u*,Michael Thorbjornsen,0510u
*061rd*,Fred Biondi,061rd
*06cmj*,Christo Lamprecht,06cmj
*04mrh*,Harrison Endycott,04mrh
*01pf1*,Jason Dufner,01pf1
*04ouh*,Harry Higgs,04ouh
*01q1a*,Ryo Ishikawa,01q1a
*0322l*,Satoshi Kodaira,0322l
*03d9x*,Nicholas Lindheim,03d9x
*04avb*,Matthias Schwab,04avb
*01ozp*,Ryan Brehm,01ozp
*01p2q*,Jorge Campillo,01p2q
*05gri*,Matthys Daffue,05gri
*060ym*,Santiago De la Fuente,060ym
*04aoa*,Kevin Dougherty,04aoa
*01ppv*,Estanislao Goya,01ppv
*06c7p*,Kensei Hirata,06c7p
*04l98*,Rico Hoey,04l98
*01qyf*,Louis Oosthuizen,01qyf
*041jo*,Mito Pereira,041jo
*041kd*,Hayden Springer,041kd
*01rs7*,Kevin Tway,01rs7
*01rv3*,Jimmy Walker,01rv3
*01otf*,Sang-Moon Bae,01otf
*04pi6*,Jacob Bergeron,04pi6
*041he*,Wesley Bryan,041he
*03o5b*,Dean Burmester,03o5b
*01p4t*,Kevin Chappell,01p4t
*04uqd*,Trevor Cone,04uqd
*03llj*,Zecheng Dou,03llj
*060m9*,Alex Fitzpatrick,060m9
*03o7a*,Dylan Frittelli,03o7a
*02k0s*,James Hahn,02k0s
*01pu6*,Padraig Harrington,01pu6
*02yma*,Scott Harrington,02yma
*04ale*,Rikuya Hoshino,04ale
*04nl1*,Jeffrey Kang,04nl1
*047gp*,Thriston Lawrence,047gp
*05wqt*,Max McGreevy,05wqt
*05ri3*,Mac Meissner,05ri3
*01qr4*,Francesco Molinari,01qr4
*01qu9*,Kevin Na,01qu9
*05gdg*,Wilco Nienaber,05gdg
*01r1b*,Cameron Percy,01r1b
*04mky*,Doc Redman,04mky
*06cq2*,Freddy Schott,06cq2
*029fi*,Roger Sloan,029fi
*02anw*,Martin Trainer,02anw
*01rte*,Bo Van Pelt,01rte
*03ryf*,Richy Werenski,03ryf
*04ymd*,Matthew Wolff,04ymd
*03o49*,Gustavo Acosta,03o49
*01opc*,Brad Adamonis,01opc
*02jmo*,Frank Adams III,02jmo
*04iyb*,James Adams,04iyb
*066c2*,Nathaniel Adams,066c2
*050qu*,Gustav Adell,050qu
*06ahj*,Tom Adrounie,06ahj
*04913*,Paul Barjon,4913
*01ouf*,Ricky Barnes,01ouf
*02h6j*,Jonas Blixt,02h6j
*02ym4*,Michael Block,02ym4
*01p1z*,Angel Cabrera,01p1z
*01p67*,S.S.P. Chawrasia,01p67
*01pa5*,John Daly,01pa5
*01pdu*,Luke Donald,01pdu
*05296*,Patrick Fishburn,5296
*033r8*,Caine Fitzgerald,033r8
*01pka*,Ben Fox,01pka
*04xom*,Wilson Furr,04xom
*04aj2*,Brent Grant,04aj2
*030zl*,Cody Gribble,030zl
*04sb0*,Benjamin Griffin,04sb0
*03o7o*,Julien Guerrier,03o7o
*01pu2*,Matt Harmon,01pu2
*02h6s*,John Huh,02h6s
*03oax*,Stephan Jager,03oax
*01q7k*,Anthony Kim,01q7k
*03o05*,Andrew Landry,03o05
*01qd5*,Pablo Larrazabal,01qd5
*04c6l*,Hank Lebioda,04c6l
*01qe4*,Danny Lee,01qe4
*01uwu*,Dan McCarthy,01uwu
*01qno*,William McGirt,01qno
*06cpa*,Tom McKibbin,06cpa
*03mkc*,Trey Mullinax,03mkc
*041j9*,Sebastian Munoz,041j9
*04y5u*,Keita Nakajima,04y5u
*01qy5*,Jose Maria Olazabal,01qy5
*06c27*,David Puig,06c27
*0680b*,Taiga Semikawa,0680b
*03odo*,Shubhankar Sharma,03odo
*06bta*,Jacob Solomon,06bta
*03fb9*,Matthew Southgate,03fb9
*01rks*,Henrik Stenson,01rks
*02y9g*,Robert Streb,02y9g
*01rlv*,Brian Stuard,01rlv
*01rop*,Josh Teater,01rop
*0310v*,Harold Varner III,0310v
*01rw5*,Nick Watney,01rw5
*05954*,Kyle Westmoreland,5954
*06a1s*,Brett White,06a1s
*049lh*,Tom Whitney,049lh
*01v9r*,Jamie Abbott,01v9r
*03o48*,Warren Abery,03o48
*01ope*,Blake Adams,01ope
*01s9s*,Joe Affrunti,01s9s
*03el0*,Brian Agee,03el0
*040cw*,Jonathan Agren,040cw
*05a2e*,Camilo Aguado,05a2e
*03o4a*,Carlos Aguilar,03o4a
*01opp*,Felipe Aguilar,01opp
*05aef*,Veer Ahlawat,05aef
*01ops*,Jaco Ahlers,01ops
*01opv*,Antti Ahokas,01opv
*01opw*,Thomas Aiken,01opw
*03ca8*,Neal Ajubita,03ca8
*0680c*,Blaze Akana,0680c
*03o4b*,Bjorn Akesson,03o4b
*04koy*,Shota Akiyoshi,04koy
*050yc*,Mikiya Akutsu,050yc
*04054*,Anders Albertson,4054
*04z2o*,Max Albertus,04z2o
*01oq8*,Tyler Aldridge,01oq8
*01oqb*,Lonny Alexander,01oqb
*05yi7*,Ryan Alford,05yi7
*02oh1*,Steven Alker,02oh1
*059vv*,James Allan,059vv
*01oqi*,Steve Allan,01oqi
*01oqj*,Fulton Allem,01oqj
*061hy*,Josh Allen,061hy
*01oqn*,Michael Allen,01oqn
*050yr*,James Allenby,050yr
*01oqp*,Robert Allenby,01oqp
*01oqr*,Jason Allred,01oqr
*029fg*,Benjamin Alvarado,029fg
*03o4c*,Oscar Alvarez,03o4c
*01oqz*,Max Alverio,01oqz
*06c3k*,Bastien Amat,06c3k
*04dog*,Oskar Ambrosius,04dog
*01or2*,Stephen Ames,01or2
*06awv*,Paresh Amin,06awv
*03o4d*,Rizal Amin,03o4d
*04134*,Do-Eun An,4134
*03eev*,Brian Anania,03eev
*04doo*,Mason Andersen,04doo
*01or8*,Billy Anderson,01or8
*033r6*,J.C. Anderson,033r6
*01ord*,Josh Anderson,01ord
*01orf*,Mark Anderson,01orf
*050y9*,Matthew Anderson,050y9
*050yd*,Matthew Anderson,050yd
*01ori*,Stuart Anderson,01ori
*01orn*,Fredrik Andersson Hed,01orn
*01orp*,Billy Andrade,01orp
*03wo0*,Pep Angles,03wo0
*041ag*,Mark Anguiano,041ag
*04muk*,Maverick Antcliff,04muk
*02hzq*,Kiradech Aphibarnrat,02hzq
*01os2*,Stuart Appleby,01os2
*0412r*,Paul Apyan,0412r
*01os5*,Alex Aragon,01os5
*04xi7*,Yutaka Araki,04xi7
*01os8*,Phillip Archer,01os8
*03228*,Connor Arendell,3228
*04v97*,Shariffuddin Ariffin,04v97
*02i22*,Alvaro Arizabaleta,02i22
*0440a*,Hinrich Arkenau,0440a
*03uzh*,Marcus Armitage,03uzh
*01osb*,Ryan Armour,01osb
*01osc*,Tommy Armour,01osc
*04pcb*,Dawson Armstrong,04pcb
*01osd*,Michael Arnaud,01osd
*04dg6*,Adri Arnaus,04dg6
*03o4f*,Jamie Arnold,03o4f
*01osf*,Sam Arnold,01osf
*03o4g*,Scott Arnold,03o4g
*043cg*,Jarand Ekeland Arnoy,043cg
*042vb*,Christian Aronsen,042vb
*04bfi*,Riley Arp,04bfi
*03o4h*,Wisut Artjanawat,03o4h
*03pcn*,Oskar Arvidsson,03pcn
*040b3*,Yosuke Asaji,040b3
*05rhm*,Wu Ashun,05rhm
*03y7k*,Matt Atkins,03y7k
*01ost*,Arjun Atwal,01ost
*04zjb*,John Augenstein,04zjb
*05a0e*,Daniel Augustus IV,05a0e
*01osy*,Woody Austin,01osy
*05mry*,Michael Auterson,05mry
*01ot0*,Clint Avret,01ot0
*05osg*,Gabriel Axell,05osg
*06cqd*,John Axelsen,06cqd
*01ot2*,Eric Axley,01ot2
*06kxg*,Kevin Aylwin,06kxg
*01ot4*,Mauricio Azcue,01ot4
*01ot5*,Paul Azinger,01ot5
*04pih*,Chris Babcock,04pih
*01ot8*,Ryan Baca,01ot8
*05lo9*,Nick Bachem,05lo9
*03lly*,Camden Backel,03lly
*059vn*,Yongjun Bae,059vn
*03reh*,Youn-Ho Bae,03reh
*039rk*,Seuk-Hyun Baek,039rk
*02zlj*,Todd Baek,02zlj
*03o4i*,Kemarol Baharin,03o4i
*051yr*,Bobby Bai,051yr
*04ofo*,Thomas Baik,04ofo
*059ts*,Braden Bailey,059ts
*01otl*,Graham Baillargeon,01otl
*01otp*,Briny Baird,01otp
*05u3l*,Sam Bairstow,05u3l
*04idr*,Honey Baisoya,04idr
*03tih*,Chris Baker,03tih
*02yex*,Mark Baker,02yex
*01ott*,Peter Baker,01ott
*01otu*,Ian Baker-Finch,01otu
*060p7*,Michael Balcar,060p7
*03rlo*,Alister Balcombe,03rlo
*02448*,Chase Baldwin,2448
*03l8l*,Mark Baldwin,03l8l
*02k0q*,Matthew Baldwin,02k0q
*01ycr*,Daniel Balin,01ycr
*050av*,Todd Balkin,050av
*06cmk*,Jose Luis Ballester,06cmk
*04z6c*,"Mike Ballo, Jr.",04z6c
*05t59*,Peter Ballo,05t59
*04912*,Carlos Balmaseda,4912
*050qv*,Timon Baltl,050qv
*04pid*,Shintaro Ban,04pid
*0332i*,Eric Banks,0332i
*04199*,Philip Barbaree,4199
*02ym9*,Blayne Barber,02ym9
*04y12*,Garrett Barber,04y12
*01shw*,Daniel Barbetti,01shw
*027er*,Michael Barbosa,027er
*01ou9*,Rich Barcelo,01ou9
*05te6*,Luis Fernando Barco,05te6
*0401j*,Derek Bard,0401j
*025rf*,Justin Bardgett,025rf
*04mhn*,Kyle Barker,04mhn
*01oud*,Craig Barlow,01oud
*03o4k*,Jason Barnes,03o4k
*01oue*,Kurt Barnes,01oue
*01oui*,Scott Barr,01oui
*04dop*,Derek Barron,04dop
*01oul*,Doug Barron,01oul
*06c7r*,Haydn Barron,06c7r
*01wsx*,Jonathan Bartlett,01wsx
*01ouq*,Chris Baryla,01ouq
*03o4l*,Christiaan Basson,03o4l
*01ouv*,Brian Bateman,01ouv
*04mmg*,Harry Bateman,04mmg
*03wwo*,Wil Bateman,03wwo
*06c1d*,Wil Bateman,06c1d
*01ouw*,Ben Bates,01ouw
*01ov0*,Doug Batty,01ov0
*04sy4*,Zachary Bauchou,04sy4
*05mlt*,Derek Bayley,05mlt
*03o4m*,Jay Bayron,03o4m
*03o4n*,Rufino Bayron,03o4n
*04gyt*,Alex Beach,04gyt
*03v3v*,Ross Beal,03v3v
*03scn*,James Beale,03scn
*01ov8*,Andy Bean,01ov8
*03o4o*,Ray Beaufils,03o4o
*03ppf*,Jared Becher,03ppf
*03v3w*,Romain Bechu,03v3w
*04dx3*,James Beck III,04dx3
*04koz*,Darren Beck,04koz
*03o4p*,Rafael Becker,03o4p
*061rb*,Andrew Beckler,061rb
*061qo*,Aubrey Beckley,061qo
*01ovf*,Cameron Beckman,01ovf
*01ovg*,Colby Beckstrom,01ovg
*05h2y*,Aadil Bedi,05h2y
*01ovh*,Rich Beem,01ovh
*01ovi*,Notah Begay III,01ovi
*05gci*,Jean Bekirian,05gci
*02pm4*,Oliver Bekker,02pm4
*01ovo*,Charlie Beljan,01ovo
*04ln6*,Ross Bell,04ln6
*04y5t*,Isidro Benitez,04y5t
*05xuo*,Juan Carlos Benitez,05xuo
*01t3m*,Brad Benjamin,01t3m
*02oh2*,Warren Bennett,02oh2
*02pwy*,Frank Bensel,02pwy
*05t57*,Frank Bensel,05t57
*03o4q*,Seve Benson,03o4q
*01ow6*,Ryan Benzel,01ow6
*03yr4*,Clement Berardo,03yr4
*03ppg*,Rich Berberian,03ppg
*03o4r*,Filippo Bergamaschi,03o4r
*01ow8*,David Berganio,01ow8
*047zy*,Oscar Bergman,047zy
*049rb*,Daniel Berna Manzanares,049rb
*03o4s*,Adrien Bernadet,03o4s
*04405*,Hugo Bernard,4405
*03xlv*,Nino Bertasio,03xlv
*04dam*,Elias Bertheussen,04dam
*03o4t*,Travis Bertoni,03o4t
*04z6d*,Justin Bertsch,04z6d
*01owl*,Shane Bertsch,01owl
*0452w*,Wil Besseling,0452w
*061ql*,Wil Besseling,061ql
*01owp*,Matt Bettencourt,01owp
*05zbu*,Aaron Beverly,05zbu
*01owu*,Gaganjeet Bhullar,01owu
*06bdg*,Taylor Bibbs,06bdg
*01uzw*,John Bierkan,01uzw
*02h6i*,Tommy Biershenk,02h6i
*02718*,Bryan Bigley,2718
*04lly*,Jesper Billing,04lly
*031al*,Kyle Bilodeau,031al
*04azi*,Wade Binfield,04azi
*061an*,Brandon Bingaman,061an
*03nuw*,Thomas Birdsey,03nuw
*01ox6*,Greg Bisconti,01ox6
*028i1*,Lucas Bjerregaard,028i1
*062i5*,Gudrun Bjorgvindottir,062i5
*01ox8*,Thomas Bjorn,01ox8
*01ox9*,Henrik Bjornstad,01ox9
*03o4u*,Jacques Blaauw,03o4u
*02nqr*,Chris W. Black,02nqr
*01oxd*,Ronnie Black,01oxd
*04bqq*,Brooks Blackburn,04bqq
*050y6*,Michael Blair,050y6
*02pxf*,Jay Don Blake,02pxf
*03bno*,Mark Blakefield,03bno
*01uqd*,Bennett Blakeman,01uqd
*059fn*,Chandler Blanchet,059fn
*02ibh*,Adam Bland,02ibh
*01oxn*,Richard Bland,01oxn
*01oxo*,Kris Blanks,01oxo
*01oxq*,Ryan Blaum,01oxq
*04e2o*,Cody Blick,04e2o
*04zbt*,Devon Bling,04zbt
*03o4v*,Rohan Blizard,03o4v
*041ha*,Eric Blom,041ha
*041hb*,Christofer Blomstrand,041hb
*01sr4*,John Bloomfield,01sr4
*041hc*,Adam Blyth,041hc
*04doh*,Axel Boasson,04doh
*01oy5*,Jason Bohn,01oy5
*01oy7*,Justin Bolli,01oy7
*03o4w*,Tom Bond,03o4w
*062i4*,Albert Boneta,062i4
*03o4x*,Danthai Boonma,03o4x
*04tf1*,Grant Booth,04tf1
*03o4y*,Wallace Booth,03o4y
*01oyh*,Matthew Borchert,01oyh
*048sr*,David Borda,048sr
*01oyk*,Guy Boros,01oyk
*05953*,Joe Boros,5953
*044tl*,Maarten Bosch,044tl
*04bd9*,Dylan Boshart,04bd9
*056np*,Paul Boshoff,056np
*03o4z*,Marcus Both,03o4z
*01w70*,Ben Boudreau,01w70
*04g1y*,Thomas Boulanger,04g1y
*03o50*,Cyril Bouniol,03o50
*01oyu*,Gregory Bourdy,01oyu
*041hd*,Rory Bourke,041hd
*02zpl*,Matt Bova,02zpl
*01oyx*,Craig Bowden,01oyx
*01oyy*,Steven Bowditch,01oyy
*01oz2*,Gary Boyd,01oz2
*03o51*,Dominic Bozzelli,03o51
*06c7q*,Dan Bradbury,06c7q
*01oz7*,Michael Bradley,01oz7
*01oz9*,David Bradshaw,01oz9
*05rhh*,Tom Brady,05rhh
*04iyc*,Christian Braeunig,04iyc
*04lnr*,"Grady Brame, Jr.",04lnr
*029n8*,Christian Brand,029n8
*03n2m*,Jimmy Brandt,03n2m
*04on6*,Dale Brandt-Richards,04on6
*03o52*,David Bransdon,03o52
*031am*,David Branshaw,031am
*05106*,Etienne Brault,5106
*04k0s*,Christian Braunig,04k0s
*03cay*,Dustin Bray,03cay
*03o53*,Sam Brazel,03o53
*01ozo*,Jeff Brehaut,01ozo
*03o54*,Merrick Bremner,03o54
*05zbv*,Michael Brennan,05zbv
*03caz*,Fielding Brewbaker,03caz
*01ozv*,Markus Brier,01ozv
*01ozw*,Danny Briggs,01ozw
*04rxg*,Matt Bright,04rxg
*01ozx*,D.J. Brigman,01ozx
*01ozy*,Jaxon Brigman,01ozy
*04z99*,Rufus Brijalba,04z99
*05u21*,Christoffer Bring,05u21
*05222*,Craig Brischke,5222
*01p01*,Josh Broadaway,01p01
*01p02*,Paul Broadhurst,01p02
*03faw*,Kristoffer Broberg,03faw
*03gub*,Jamie Broce,03gub
*01p04*,Josh Brock,01p04
*01p06*,Brian Brodell,01p06
*03o55*,Daniel Brooks,03o55
*01p08*,Mark Brooks,01p08
*03d9o*,Anthony Broussard,03d9o
*03o56*,Anthony Brown,03o56
*062am*,Barclay Brown,062am
*02pm5*,Brandon Brown,02pm5
*01uh7*,Christopher Brown,01uh7
*052cn*,Cullan Brown,052cn
*06cpb*,Daniel Brown,06cpb
*03byl*,Hunter Brown,03byl
*01p0h*,Mark Brown,01p0h
*033r7*,Mark R. Brown,033r7
*02h6k*,Scott Brown,02h6k
*03o57*,Steven Brown,03o57
*01p0l*,Ted Brown,01p0l
*06c1y*,Olin Browne Jr.,06c1y
*01p0m*,Olin Browne,01p0m
*052co*,Callum Bruce,052co
*03o58*,Heinrich Bruiners,03o58
*03cyc*,Julien Brun,03cyc
*04e2p*,Brad Brunner,04e2p
*01p0v*,Bart Bryant,01p0v
*06b82*,Brad Bryant,06b82
*04t3p*,Russell Budd,04t3p
*01p11*,Jason Buha,01p11
*061p2*,William Buhl,061p2
*03we9*,Charlie Bull,03we9
*03o59*,Kent Bulle,03o59
*045qe*,Brian Bullington,045qe
*059zd*,Panuwat Bulsombath,059zd
*01w71*,Dave Bunker,01w71
*03o5a*,Itthipat Buranatanyarat,03o5a
*01p19*,Kelvin Burgin,01p19
*01p1b*,Cam Burke,01p1b
*01p1g*,Bob Burns,01p1g
*01p1h*,Jeff Burns,01p1h
*01p1n*,John Bushka,01p1n
*04sy5*,Marc-Etienne Bussieres,04sy5
*01p1p*,Rodney Butcher,01p1p
*03o5c*,Michael Buttacavoli,03o5c
*03p5l*,Morne Buys,03p5l
*01p1u*,Jonathan Byrd,01p1u
*060o4*,Marcus Byrd,060o4
*027gk*,Zack Byrd,027gk
*02j7e*,David Byrne,02j7e
*03o5d*,James Byrne,03o5d
*01p1x*,Tom Byrum,01p1x
*041hf*,Jin-jae Byun,041hf
*04c0j*,Zach Cabra,04c0j
*01p21*,Rafa Cabrera Bello,01p21
*01p20*,Federico Cabrera,01p20
*02ytl*,"Angel F. Cabrera, Jr.",02ytl
*0500w*,Jan Cafourek,0500w
*06b7p*,Matt Cahill,06b7p
*02aup*,Brian Cairns,02aup
*06cwx*,Ethan Cairns,06cwx
*03o5e*,Ryan Cairns,03o5e
*01p2a*,Mark Calcavecchia,01p2a
*04mtr*,Matias Calderon,04mtr
*03ua2*,Jonathan Caldwell,03ua2
*061rc*,Brady Calkins,061rc
*03r1u*,Francois Calmels,03r1u
*02i23*,Robert Calvesbert,02i23
*03o5f*,Guillaume Cambis,03o5f
*0620q*,Ben Campbell,0620q
*04atc*,Benjamin Campbell,04atc
*03d9p*,Brian Campbell,03d9p
*01p2k*,Chad Campbell,01p2k
*04doq*,Matt Campbell,04doq
*01p2n*,Michael Campbell,01p2n
*03o5g*,Peter Campbell,03o5g
*05a2f*,Ryan Campbell,05a2f
*026zs*,Todd Camplin,026zs
*01p2t*,Rafael Campos,01p2t
*02i24*,Juan Campusano,02i24
*03o5h*,Ariel Canete,03o5h
*01p2v*,Alejandro Canizares,01p2v
*04zhr*,Chris Cannon,04zhr
*04azj*,Will Cannon,04azj
*01v9s*,Laurie Canter,01v9s
*04p40*,Ivan Cantero Gutierrez,04p40
*01p30*,Tim Cantwell,01p30
*03p8x*,Yi Cao,03p8x
*0401k*,Frankie Capan,0401k
*01p32*,Mike Capone,01p32
*03lli*,Sebastian Cappelen,03lli
*03o5i*,Ty Capps,03o5i
*02h6l*,Miguel Angel Carballo,02h6l
*01p37*,Michael Carbone,01p37
*062al*,David Carey,062al
*02ya4*,Kevin Carll,02ya4
*03o5j*,Johan Carlsson,03o5j
*03o5k*,Magnus Carlsson,03o5k
*04xlq*,Magnus A. Carlsson,04xlq
*03ryb*,Robert Carlsson,03ryb
*05te8*,Mario Carmona,05te8
*0298r*,Mark Carnevale,0298r
*03ous*,Steve Carney,03ous
*01p3j*,Jason Caron,01p3j
*059co*,Rowin Caron,059co
*0267k*,Alex Carpenter,0267k
*06ago*,Ben Carr,06ago
*039er*,David Carr,039er
*04y13*,Clodomiro Carranza,04y13
*06c1e*,Luis Carrera,06c1e
*032ps*,Kevin Carrigan,032ps
*04apy*,Christopher Carstensen,04apy
