"ID","Player","Team","Position","RkOv","Status","FPts","FP/G","Ros","+/-","Par","Bir","Eag","Bog","DBo","Alb","H1","TP","Oth","Plc"
"*06l3v*","Jasper Stubbs","null","null","3174","FA","0","0","3%","+2.5%","0","0","0","0","0","0","0","0","0","0"
"*03d1r*","Austin Cook","null","null","150","FA","0","0","3%","-0.5%","0","0","0","0","0","0","0","0","0","0"
"*02z04*","David Skinns","null","null","154","FA","0","0","3%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*01ri8*","Brandt Snedeker","null","null","161","FA","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0"
"*06l3u*","Neal Shipley","null","null","3027","FA","0","0","3%","+2.5%","0","0","0","0","0","0","0","0","0","0"
"*05tea*","Joe Highsmith","null","null","165","FA","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0"
"*03o4e*","Abraham Ancer","null","null","425","FA","0","0","2%","-0.1%","0","0","0","0","0","0","0","0","0","0"
"*01p1a*","Bronson Burgoon","null","null","195","FA","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0"
"*05l0g*","Peter Kuest","null","null","153","FA","0","0","2%","+0.2%","0","0","0","0","0","0","0","0","0","0"
"*01r2o*","Scott Piercy","null","null","166","FA","0","0","2%","-0.3%","0","0","0","0","0","0","0","0","0","0"
"*01rdx*","Charl Schwartzel","null","null","371","FA","0","0","2%","-2%","0","0","0","0","0","0","0","0","0","0"
"*04as9*","Jimmy Stanger","null","null","152","FA","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0"
"*0510u*","Michael Thorbjornsen","null","null","3257","FA","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0"
"*061rd*","Fred Biondi","null","null","189","FA","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0"
"*04mrh*","Harrison Endycott","null","null","139","FA","0","0","2%","-0.2%","0","0","0","0","0","0","0","0","0","0"
"*06cmj*","Christo Lamprecht","null","null","355","FA","0","0","2%","-1.2%","0","0","0","0","0","0","0","0","0","0"
"*01pf1*","Jason Dufner","null","null","179","FA","0","0","2%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*04ouh*","Harry Higgs","null","null","227","FA","0","0","2%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*01q1a*","Ryo Ishikawa","null","null","266","FA","0","0","2%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*0322l*","Satoshi Kodaira","null","null","192","FA","0","0","2%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*03d9x*","Nicholas Lindheim","null","null","167","FA","0","0","2%","-0.1%","0","0","0","0","0","0","0","0","0","0"
"*04avb*","Matthias Schwab","null","null","200","FA","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0"
"*01ozp*","Ryan Brehm","null","null","137","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*01p2q*","Jorge Campillo","null","null","218","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*05gri*","Matthys Daffue","null","null","201","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*060ym*","Santiago De la Fuente","null","null","277","FA","0","0","1%","-1.2%","0","0","0","0","0","0","0","0","0","0"
"*04aoa*","Kevin Dougherty","null","null","174","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*060m9*","Alex Fitzpatrick","null","null","1195","FA","0","0","1%","+0.8%","0","0","0","0","0","0","0","0","0","0"
"*01ppv*","Estanislao Goya","null","null","185","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*06c7p*","Kensei Hirata","null","null","257","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*04l98*","Rico Hoey","null","null","172","FA","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0"
"*01qyf*","Louis Oosthuizen","null","null","2552","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*041jo*","Mito Pereira","null","null","2661","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*041kd*","Hayden Springer","null","null","173","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*01rs7*","Kevin Tway","null","null","197","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*01rv3*","Jimmy Walker","null","null","202","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*01otf*","Sang-Moon Bae","null","null","292","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*04pi6*","Jacob Bergeron","null","null","346","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*041he*","Wesley Bryan","null","null","213","FA","0","0","1%","+0.4%","0","0","0","0","0","0","0","0","0","0"
"*03o5b*","Dean Burmester","null","null","709","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*01p4t*","Kevin Chappell","null","null","176","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*04uqd*","Trevor Cone","null","null","237","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*03llj*","Zecheng Dou","null","null","193","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*03o7a*","Dylan Frittelli","null","null","234","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*02k0s*","James Hahn","null","null","168","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*01pu6*","Padraig Harrington","null","null","252","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*02yma*","Scott Harrington","null","null","205","FA","0","0","1%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*04ale*","Rikuya Hoshino","null","null","1576","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*04nl1*","Jeffrey Kang","null","null","274","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*047gp*","Thriston Lawrence","null","null","2000","FA","0","0","1%","+0.4%","0","0","0","0","0","0","0","0","0","0"
"*05wqt*","Max McGreevy","null","null","211","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*05ri3*","Mac Meissner","null","null","186","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*01qr4*","Francesco Molinari","null","null","233","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*01qu9*","Kevin Na","null","null","2452","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*05gdg*","Wilco Nienaber","null","null","2481","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*01r1b*","Cameron Percy","null","null","198","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*04mky*","Doc Redman","null","null","199","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*06cq2*","Freddy Schott","null","null","2971","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*029fi*","Roger Sloan","null","null","223","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*02anw*","Martin Trainer","null","null","148","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*01rte*","Bo Van Pelt","null","null","366","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*03ryf*","Richy Werenski","null","null","180","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*04ymd*","Matthew Wolff","null","null","3506","FA","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*03o49*","Gustavo Acosta","null","null","380","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01opc*","Brad Adamonis","null","null","381","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02jmo*","Frank Adams III","null","null","382","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04iyb*","James Adams","null","null","384","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*066c2*","Nathaniel Adams","null","null","385","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*050qu*","Gustav Adell","null","null","386","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06ahj*","Tom Adrounie","null","null","376","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04913*","Paul Barjon","null","null","206","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01ouf*","Ricky Barnes","null","null","250","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02h6j*","Jonas Blixt","null","null","267","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02ym4*","Michael Block","null","null","270","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01p1z*","Angel Cabrera","null","null","724","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01p67*","S.S.P. Chawrasia","null","null","812","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01pa5*","John Daly","null","null","969","FA","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0"
"*01pdu*","Luke Donald","null","null","295","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05296*","Patrick Fishburn","null","null","240","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*033r8*","Caine Fitzgerald","null","null","1194","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01pka*","Ben Fox","null","null","1223","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04xom*","Wilson Furr","null","null","226","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04aj2*","Brent Grant","null","null","182","FA","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*030zl*","Cody Gribble","null","null","203","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04sb0*","Benjamin Griffin","null","null","1387","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03o7o*","Julien Guerrier","null","null","1410","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01pu2*","Matt Harmon","null","null","1470","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02h6s*","John Huh","null","null","1600","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03oax*","Stephan Jager","null","null","1667","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01q7k*","Anthony Kim","null","null","1824","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03o05*","Andrew Landry","null","null","190","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01qd5*","Pablo Larrazabal","null","null","1991","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04c6l*","Hank Lebioda","null","null","243","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01qe4*","Danny Lee","null","null","2018","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01uwu*","Dan McCarthy","null","null","2273","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01qno*","William McGirt","null","null","212","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06cpa*","Tom McKibbin","null","null","2313","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03mkc*","Trey Mullinax","null","null","327","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*041j9*","Sebastian Munoz","null","null","2432","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04y5u*","Keita Nakajima","null","null","310","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01qy5*","Jose Maria Olazabal","null","null","322","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02h6x*","Ted Potter Jr.","null","null","254","FA","0","0","0%","+0.3%","0","0","0","0","0","0","0","0","0","0"
"*06c27*","David Puig","null","null","2747","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0680b*","Taiga Semikawa","null","null","214","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03odo*","Shubhankar Sharma","null","null","3003","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06bta*","Jacob Solomon","null","null","279","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03fb9*","Matthew Southgate","null","null","3110","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01rks*","Henrik Stenson","null","null","3143","FA","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0"
"*02y9g*","Robert Streb","null","null","194","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01rlv*","Brian Stuard","null","null","209","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01rop*","Josh Teater","null","null","217","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0310v*","Harold Varner III","null","null","3338","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01rw5*","Nick Watney","null","null","235","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05954*","Kyle Westmoreland","null","null","208","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*06a1s*","Brett White","null","null","281","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*049lh*","Tom Whitney","null","null","244","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01v9r*","Jamie Abbott","null","null","378","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03o48*","Warren Abery","null","null","379","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01ope*","Blake Adams","null","null","383","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*01s9s*","Joe Affrunti","null","null","387","FA","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
